Restaurant Name,Website Link,City:,Neighborhood/Area,Cuisine Type,What do you love about this place?,"What are your ""Must Have"" recommendations""?",Reservation needed/required?,How far in advance do we need to plan?,Price Range
Ollei,https://maps.app.goo.gl/5HMYExhEcpbCQvyL9?g_st=ipc,San Francisco,Russian Hill,Korean ,Food is absolutely fantastic,Kimchi Fried Rice ,Walk-in only/no reservations,Sometimes they have a wait ,$$ - $21-$50
Pizzaiolo,https://www.pizzaiolooakland.com,Oakland,Temescal,"Californian,Italian","Rotating menus that highlight the best of the current season. Don't go just for pizza - the salads, pastas, entrees, and especially dessers are where Pizzaiolo truly shines. Almost everything is cooked in their wood-fired pizza oven (hence the name, which in Italian means ""in the style of pizza""). Their breakfast offerings are also remarkable!","The menu changes frequently so nothing is guaranteed, but I've had no bad dishes here. Some particular highlights include their meatballs, fried chicken, persimmon and fennel salad, pork coppa, pepperoni and jalapeño pizza, and ricotta donuts (particularly with their housemade almond and fig gelato during the summertime). For breakfast, I recommend the savory porridge or biscuits and gravy.",Walk-in only/no reservations,"All tables are walk-in only but check their website beforehand because they sometimes take limited reservations for holidays or will be closed to host weddings or other private events. In the summer, patio seating fills up quickly after opening.",$$ - $21-$50
Speedy Burritos,NA,Reno,Midtown ,Mexican,Cheesy name but best burritos in town. Recommend carne asada,Carne asada burrito,Just pull up!,NA,$ - $0-$20
Burma Superstar,https://www.burmasuperstar.com/,San Francisco ,Richmond,Southeast Asian,"The superstar shrimp and Burmese style lamb curry are truly like having a bite from my Malaysian grandmother's kitchen. Super authentic southeast Asian taste, mashing together Malay, Thai, Singapore, and Chinese cuisine in an epic menu! ","Superstar shrimp, Burmese style lamb curry, roti platha, tea leaf salad, spicy and crispy chicken, vegetable samosa",Walk-in only/no reservations,Go on the earlier side during a week day to get a spot! The service is fast but always a popular spot ,$$ - $21-$50
The Tyger,https://www.thetygernyc.com/,Manhattan,"Manhattan, Chinatown/SoHo",Asian,Everything is sharable and delicious. Fantastic mocktails. Reservations are not impossible,"Fried Chicken, Crab Fried Rice, Grilled Beef Skewer, Baby Gem Salad, Crispy Lamb Ribs, Snapper","Not required, but recommended",Two days to be safe but highly variable,$$$ - $51-$100
Bombera,https://www.bomberaoakland.com,Oakland,Dimond,Mexican,"Coming from a SoCal snob, this is the best Mexican food in the Bay Area. Super flavorful and elevated in just the right way. The vibe is awesome too - built into an old fire station with high ceilings and lots of indoor and outdoor seating.","Spicy carrots, trout tostadas, quesadilla with braised pork, grilled swordfish, carne asada huarache","Not required, but recommended","Peak dinner time reservations book out a few days in advance. Same-day availability is usually possible, but recommend booking a week in advance.",$$$ - $51-$100
Yuanbao Jiao Zi,yuanbaojiaozisf.com,San Francisco,Inner Sunset,"Chinese, Dumplings","These are my favorite dumplings I've ever had in a restaurant, and the closest to tasting like my mom's home cooked dumplings. It is no frills, all dumplings are handmade, and the price is super reasonable. ","Napa cabbage and pork is the OG dumpling type! If you don't eat red meat, the chicken is a good alternative.",Walk-in only/no reservations,"First come first serve, but it's not usually too long of a wait, though maybe 15-30 minutes tops. ",$$ - $21-$50
Noeteca Wine and Bar ,https://maps.app.goo.gl/xHbKzHsEmLFKZFcZ6?g_st=ic,San Francisco ,Mission,Brazilian ," I'm a native Brazilian, and I can honestly say this is truly authentic, homemade Brazilian food. It's the kind of meal that tastes like something your grandma would make, if your grandma were Brazilian. Every time I eat there, it feels like my mom cooked the meal for me. It genuinely feels like home. If you want to experience what Brazilian food is like when it's made by Brazilians, this is the place. On top of that, the owner is incredibly friendly and treats you like family.",Feijoada ,Walk-in only/no reservations,Just show up. It's pretty cheap too. Cheaper than normal Brazilian places ,$$ - $21-$50
Heirloom Café,https://heirloom-sf.com/,San Francisco,Mission,California,"Heirloom Café is one of those places that feels instantly comforting and effortlessly special. Deeply rooted in its neighborhood, it offers a seasonal menu that evolves throughout the year, showcasing creative, beautifully executed dishes. Pair that with a fantastic wine selection, and you have a restaurant that delivers every single time. A true local favorite that never disappoints.","The menu is always changing, and it never disappoints.","Yes, required",2 weeks,$$$ - $51-$100
Blue willow,https://www.bluewillownyc.com/,Manhattan,Midtown,Szechuan,Really great dry pot and good drinks,Dry pot! Must have lotus root,"Not required, but recommended",,$$ - $21-$50
Nickie's,NICKIESBARSF.com,San Francisco ,Lower Haight ,Pub food,"This is a no-frills sports bar that just has all around good pub food but the thing to get here is the chicken tenders. These puppies come with barbecue sauce and ranch included (like you don't even have to ask for it!!) and a killer side of fries. Basic I know, but this is a great happy hour spot to grab some thing to eat after our workout class at core power or before you hit Motown Monday at Madrones. Salty and good- they usually have booths open and the same locals at the bar everyday. ",Chicky Tendies,Just pull up!,NA,$$ - $21-$50
The Front Porch ,https://www.thefrontporchsf.com/,San Francisco ,Mission ,Southern ,Reminds me of New Orleans ,Shrimp and grits ,"Not required, but recommended",,$$ - $21-$50
Arabian Nights,https://arabiannightssf.com/,San Francisco ,Mission,Mediterranean ,Staff and aesthetic. Also good seating in the back on a nice day.,Start with the MEZZA SAMPLER and order more of what you want after.,"Not required, but recommended",1-2 days should be good enough,$$ - $21-$50
Chic n' Time,https://chicntime.menu11.com/,San Francisco,Mission,"Vietnamese, Taiwanese",Amazing Vietnamese/Taiwanese fusion chicken spot. Locally owned - you can often catch the owner working the register and he's very friendly. Fast service. Perfect place to stop in for a quick bite while strolling down Valencia St.,"Peppercorn wings, five spice chicken, charbroiled beef, with garlic noodles or vermicelli rather than phở here  ",Just pull up!,"Counter serve, no reservations",$$ - $21-$50
Pakwan,https://www.pakwanrestaurant.com/,San Francisco,Mission,Indian,Food and prices — lots of vegetarian options,Anything vegetarian. I literally order something different every time I am there.,Walk-in only/no reservations,N/A,$ - $0-$20
Cote Ouest,coteouestbistro.com,San Francisco ,Marina,French,In a quiet neighborhood in the Marina. Easy to make a reservation. Small business and very authentic. The staff is French and try to greet you by name. Their food is amazing and prices are reasonable. ,Grilled Chicken Sandwich ,"Not required, but recommended",A day or 2,$$ - $21-$50
Mama Ji's,https://www.mamajissf.com/,San Francisco,Castro,Chinese,Food is incredible and it's a family run spot with some of the most friendly servers!,"Triple C cauliflower, Wings, or Tofu is the best thing on their menu","Not required, but recommended",No planning needed usually!,$$ - $21-$50
The Yellow Submarine,https://maps.app.goo.gl/Zj3HxDtU4t1h2D5o8,San Francisco ,Inner sunset ,Sandwich,"Family owned business, Rami and his grandma are generally working the front and make for such a fun, bustling, sub shop vibe. Cash only",Hot Pastrami Sub with 'the works'! ,Just pull up!,,$ - $0-$20
Philmore Creamery,https://maps.app.goo.gl/wS8Nj2xLUsFqCbyK7,San Francisco ,Fillmore ,Gelato,"Creamiest, most tasty gelato in SF. No questions.",Pistachio gialto and the gianduia crunch,Just pull up!,,$ - $0-$20
Cellarmaker House of Pizza,cellarmakerbrewing.com,San Francisco ,Mission,Pizza,Great pizza and Detroit style beer. Crispy cheese and great bread for the pizza. ,Red Top,Walk-in only/no reservations,,$$ - $21-$50
Khao Tiew,Na,San Francisco ,West Portal,Thai,"Great vibes, even better food",Fried squash bottom (seasonal),Walk-in only/no reservations,"Walk in only, wait is probably around 1 hour so yelp waitlist and go do something else ",$$ - $21-$50
Noodle in a Haystack,noodleinhaystack.com,San Francisco ,Inner Richmond,Japanese,"Food is great, ran by a super cute couple, small intimate setting",Set menu,"Yes, required","Very hard reservation to get, and book 1 month out. Very $$$$",$$$$ - $101 -$1000
Sriracha Thai Cuisine,https://www.srirachathaicuisineca.com/ron1e5rh/restaurant/order-online?menu=All+Day+Menu&category=Appetizers,San Francisco,Inner Sunset,Thai,"Great, affordable Thai food. They serve Khao Soi (my favorite Thai dish) which many Thai restaurants don't offer as it's a specialty from northern Thailand.","Khao Soi, Pad Kee Mao, Fried Spring Rolls",Just pull up!,,$ - $0-$20
Yummy Yummy,NA,San Francisco,Inner Sunset,Vietnamese,The name says it all,I always get #13 curry chicken noodle soup & spring rolls,Just pull up!,,$$ - $21-$50
DAMNFiNE Pizza,https://damnfineco.com/,San Francisco ,Outer Sunset,Italian ,"Neapolitan pizza, cocktails, back patio, everything is homemade in house  ","Meatballs, pepperoni pizza, acapulco pizza, burrata appetizer","Not required, but recommended",Would recommend a couple days for reservation. Walkin sometimes works for bar but expect to wait an hour,$$ - $21-$50
Chavela's,https://chavelasnyc.com/,Brooklyn,Crown Heights,Mexican,Has been here over 10 years and my Mexican parents approve of it and the drinks are great. It's neighborhoody / datey / perfect for any occasion.,"Chilaquiles verdes, don pepino, special desserts 🤤🤤",Can get crowded but usually I walk in for ~4 or less.,Not sure,$$ - $21-$50
Shawarmaji,https://www.theshawarmaji.com/,Oakland,Uptown,"Palestinian, Jordanian",It's delicious. It's Palestinian-owned. They do things with garlic that will make you question everything. What more do you need?,Falafel. 🧆 ,Just pull up!,,$ - $0-$20
Tacos Mi Rancho,https://www.tacosmirancho.com/,Oakland,Eastlake,Mexican,"It's cheaper than the Mission, you can sit by the lake and eat it, and it's delicious.",Get a burrito! Get all the salsas!,Just pull up!,,$ - $0-$20
Gregory's,https://gregorysgourmetdesserts.com/,Oakland,Oakland,Dessert,"It's Black-owned, it's dessert, and it's delicious",Key lime pie or any citrus tart/pie,Just pull up!,,$ - $0-$20
Cotogna ,https://www.cotognasf.com/,San Francisco,North Beach / Embarcadero,"Italian, California","It's so classy and tasteful without trying too hard. The space is refined, cozy, and a little romantic, with a partially open kitchen and copper pots everywhere. The pastas are handmade and always incredible—I've genuinely never had a bad dish here. The wine list is amazing, with a lot of really thoughtful, niche bottles, and the service is impeccable. Hyper-local ingredients, Italian technique. I'd bring someone here if they really love food, or if I wanted to impress a date in a subtle way.","Raviolo, gnocco fritto is a comfort classic. The menu rotates a lot, but those two are often on it. Great seasonal salads. ","Reservations are hard to get. I've always walked in, and often will sit at the bar. The waitlist is usually long but they often get you in faster than they say they will.",Often are booked a month out.,$$$ - $51-$100
Bakesale Betty,https://www.bakesalebetty.us/,Oakland,Temescal,Southern ,"Best spicy coleslaw I've ever had. Simple: all you can order is a fried chicken sandwich or salad. The pro move is to get it to go and walk across the street to Kingfish, a perfect dive bar, and eat your lunch on the back patio while watching a Warriors game.  ",Salad all the way!,Walk-in only/no reservations,,$ - $0-$20
El Tío Juan Taco Truck,https://www.facebook.com/profile.php?id=100063701839664&mibextid=wwXIfr,Oakland,Fruitvale,Mexican ,Low key taco truck with amaaazing food. I always take friends that visit to this spot and it's one of those places that you take your first bite and forget where you're at. Eventually you look up and realize no one has been talking because they're all lost in the sauce of the food experience ,"Sope al pastor and torta de milanesa. If you've never had a sope, this is the place to convert. I've never had a torta on a ciabatta bread before this but - I see the vision ",Just pull up!,,$ - $0-$20
Flour & Branch,https://www.flourandbranch.com/,San Francisco ,SOMA,Bakery ,Skip the fancy lattes here and go straight to all the desserts. You can't leave without trying their soft baked cookies - they are the best!,All the soft baked cookies!,Walk-in only/no reservations,No,$ - $0-$20
Dad's luncheonatte ,https://www.dadsluncheonette.com/,San Francisco ,Half Moon Bay,Californian,Very casual and off the side of the road - food made and served from a historic train caboose. Chef is ex Michelan and the food is amazing!!!! ,Don't miss out on the mushroom sandwich and Mac n cheese,Food served till they run out so plan to go early,No reservation but just don't plan to show up close to when they shut down as they will run out of food!,$ - $0-$20
Mr. Pollo,https://www.instagram.com/mrpollosf?igsh=MzRlODBiNWFlZA==,San Francisco ,Mission,Colombian,"Staff is amazing, space is funky and fun, food is great! ""Mr Pollo offers a 4 course tasting menu that changes often. We source from local farmers and have a beer and wine list to match our food. Reservations are a must as there are only 12 seats and fill up quickly.",Set menu,"Yes, required","Depends on the day, 1 week to 1 month ish ",$$ - $21-$50
Kingdom of Dumpling,https://www.google.com/search?sca_esv=90ecd7b778e2c380&rlz=1CDGOYI_enUS1014US1014&hl=en-US&sxsrf=AE3TifMa_iWnfxw9OVM2PGdu-sfseaRNmQ%3A1767096454695&kgmid=%2Fg%2F11mns10619&q=Kingdom%20Of%20Dumpling&shndl=30&shem=ptotple&source=sh%2Fx%2Floc%2Fact%2Fm4%2F3,San Francisco,Sunset,Chinese,"Absolute hole in the wall with the best Chinese food in San Francisco, unbelievable sauces and flavors, super affordable, right off the L train, and everyone we bring here becomes as obsessed as us. If we could only eat at one restaurant in the city for the rest of our lives, this would be it.","Shanghai soup dumplings, spicy green beans, Dan Dan noodles, spicy wontons. It's a perfect order. Don't reduce, only add to it!",Just pull up!,,$ - $0-$20
Villa Berullia,https://villaberulia.com/,Queens,Midtown East,Italian,"Old school Italian af! Waitstaff will occasionally bring you food they're just working on in the kitchen, the martinis are crisp, the ambiance is next level Goodfellas, and the food MY GOD the food! The most tender osso bucco on the planet! ","The osso bucco, a dirty martini, any vodka based pasta","Not required, but recommended",Probably 3-4 days out,$$$ - $51-$100
